,,train,test
LDA,4,0.07496500015258789,0.001998424530029297
LDA,5,0.0800168514251709,0.0010004043579101562
LDA,6,0.09799814224243164,0.0010004043579101562
LDA,7,0.09802794456481934,0.001001119613647461
LDA,8,0.10799789428710938,0.0010004043579101562
SVM,4,117.77555727958679,28.36030912399292
SVM,5,123.74533748626709,26.516076803207397
SVM,6,114.77029633522034,26.932119369506836
SVM,7,127.95220160484314,29.951448440551758
SVM,8,127.90780854225159,29.251510620117188
