,,train,test
LDA,8,0.06998848915100098,0.0009965896606445312
LDA,7,0.07997989654541016,0.0009658336639404297
LDA,6,0.05088400840759277,0.0009534358978271484
LDA,5,0.044226646423339844,0.0014102458953857422
LDA,4,0.036058902740478516,0.0010290145874023438
SVM,8,114.75162768363953,27.064239740371704
SVM,7,105.86188697814941,25.991995334625244
SVM,6,105.06834030151367,25.141908168792725
SVM,5,102.28355193138123,24.71615219116211
SVM,4,142.85674357414246,23.747570753097534
