,,train,test
LDA,4,0.13476228713989258,0.002088785171508789
LDA,5,0.09737563133239746,0.0010364055633544922
LDA,6,0.07354068756103516,0.0009982585906982422
LDA,7,0.09100031852722168,0.0009999275207519531
LDA,8,0.09713196754455566,0.0010001659393310547
SVM,4,116.15265893936157,26.933309078216553
SVM,5,102.9721450805664,25.090223789215088
SVM,6,104.18014740943909,25.812474250793457
SVM,7,117.39983415603638,26.735587120056152
SVM,8,115.41780757904053,27.00472331047058
