,,train,test
LDA,8,0.07800149917602539,0.0010323524475097656
LDA,7,0.06903696060180664,0.0009975433349609375
LDA,6,0.05741453170776367,0.0009999275207519531
LDA,5,0.05200552940368652,0.0009968280792236328
LDA,4,0.05703449249267578,0.0009613037109375
SVM,8,123.78775143623352,28.99089217185974
SVM,7,118.38820123672485,30.475143909454346
SVM,6,121.46763110160828,28.212350845336914
SVM,5,127.75200486183167,28.79391050338745
SVM,4,175.01798748970032,26.85617160797119
